Order_ID,Month,Month_No,Date,City,Category,Product,Channel,Units_Sold,Unit_Price,Revenue,Discount_%,Net_Revenue,Delivery_Days,Order_Status,Payment_Mode,Return_Reason,Target_Revenue
ORD1001,Jan,1,2024-01-03,Hyderabad,Electronics,Smartphone,Website,4,799,3196,0,3196,9,Delivered,COD,,2700
ORD1002,Feb,2,2024-02-28,Mumbai,Clothing,Jeans,Marketplace,4,24999,99996,20,79996.8,7,Delivered,Net Banking,,74700
ORD1003,Mar,3,2024-03-28,Kolkata,Electronics,Laptop,Mobile App,5,799,3995,5,3795.25,6,Delivered,COD,,3300
ORD1004,Apr,4,2024-04-10,Hyderabad,Home & Kitchen,LED Bulb,Website,12,4999,59988,20,47990.4,2,Pending,COD,,41900
ORD1005,May,5,2024-05-13,Chennai,Books,Textbook,Marketplace,2,299,598,5,568.1,5,Pending,Credit Card,,600
ORD1006,Jun,6,2024-06-18,Pune,Home & Kitchen,Iron,Website,6,1999,11994,5,11394.3,5,Returned,UPI,Late Delivery,11900
ORD1007,Jul,7,2024-07-02,Ahmedabad,Clothing,Jeans,Mobile App,5,24999,124995,20,99996,4,Delivered,UPI,,91900
ORD1008,Aug,8,2024-08-21,Hyderabad,Home & Kitchen,Iron,Website,4,12999,51996,10,46796.4,4,Delivered,COD,,52200
ORD1009,Sep,9,2024-09-08,Hyderabad,Sports,Yoga Mat,Website,4,7999,31996,20,25596.8,5,Returned,COD,Late Delivery,24800
ORD1010,Oct,10,2024-10-13,Ahmedabad,Clothing,Kurta,Website,13,299,3887,0,3887,3,Delivered,COD,,4000
ORD1011,Nov,11,2024-11-25,Ahmedabad,Sports,Cycling Gloves,Marketplace,5,7999,39995,0,39995,2,Delivered,Net Banking,,43000
ORD1012,Dec,12,2024-12-04,Hyderabad,Home & Kitchen,Mixer,Mobile App,3,4999,14997,0,14997,5,Pending,Credit Card,,15000
ORD1013,Jan,1,2024-01-01,Chennai,Home & Kitchen,LED Bulb,Website,6,799,4794,20,3835.2,9,Cancelled,Net Banking,,3600
ORD1014,Feb,2,2024-02-25,Hyderabad,Electronics,Earbuds,Website,1,999,999,20,799.2,2,Delivered,COD,,900
ORD1015,Mar,3,2024-03-07,Bangalore,Books,Self-Help,Marketplace,8,7999,63992,5,60792.4,5,Delivered,Net Banking,,59400
ORD1016,Apr,4,2024-04-08,Hyderabad,Books,Self-Help,Mobile App,11,24999,274989,10,247490.1,8,Cancelled,COD,,219400
ORD1017,May,5,2024-05-02,Mumbai,Electronics,Earbuds,Marketplace,9,999,8991,20,7192.8,4,Delivered,UPI,,6600
ORD1018,Jun,6,2024-06-08,Chennai,Home & Kitchen,Mixer,Mobile App,11,4999,54989,5,52239.55,9,Delivered,Net Banking,,53400
ORD1019,Jul,7,2024-07-02,Chennai,Sports,Football,Website,2,24999,49998,15,42498.3,6,Delivered,COD,,47100
ORD1020,Aug,8,2024-08-06,Kolkata,Electronics,Smartphone,Marketplace,6,499,2994,5,2844.3,4,Delivered,COD,,2500
ORD1021,Sep,9,2024-09-03,Chennai,Home & Kitchen,Iron,Website,8,7999,63992,0,63992,1,Delivered,Net Banking,,70400
ORD1022,Oct,10,2024-10-09,Kolkata,Clothing,Jeans,Mobile App,8,999,7992,15,6793.2,1,Delivered,UPI,,7800
ORD1023,Nov,11,2024-11-19,Kolkata,Sports,Badminton Racket,Marketplace,12,7999,95988,15,81589.8,3,Delivered,Credit Card,,93100
ORD1024,Dec,12,2024-12-17,Pune,Books,Fiction Novel,Website,1,12999,12999,15,11049.15,9,Cancelled,Net Banking,,9900
ORD1025,Jan,1,2024-01-20,Delhi,Electronics,Laptop,Marketplace,2,24999,49998,5,47498.1,7,Delivered,Net Banking,,43900
ORD1026,Feb,2,2024-02-23,Delhi,Electronics,Tablet,Mobile App,11,12999,142989,20,114391.2,9,Delivered,Debit Card,,104200
ORD1027,Mar,3,2024-03-20,Hyderabad,Home & Kitchen,Pressure Cooker,Mobile App,3,24999,74997,10,67497.3,8,Delivered,UPI,,57600
ORD1028,Apr,4,2024-04-12,Delhi,Books,Fiction Novel,Marketplace,4,7999,31996,10,28796.4,3,Pending,UPI,,32100
ORD1029,May,5,2024-05-22,Ahmedabad,Home & Kitchen,Pressure Cooker,Marketplace,12,1499,17988,20,14390.4,9,Delivered,Net Banking,,13500
ORD1030,Jun,6,2024-06-11,Hyderabad,Electronics,Laptop,Website,15,499,7485,20,5988,3,Delivered,Net Banking,,5500
ORD1031,Jul,7,2024-07-25,Ahmedabad,Clothing,Saree,Mobile App,15,299,4485,0,4485,7,Cancelled,UPI,,3800
ORD1032,Aug,8,2024-08-23,Bangalore,Clothing,Saree,Marketplace,8,7999,63992,15,54393.2,9,Delivered,UPI,,61700
ORD1033,Sep,9,2024-09-26,Mumbai,Clothing,Kurta,Mobile App,10,7999,79990,5,75990.5,7,Delivered,Debit Card,,72900
ORD1034,Oct,10,2024-10-08,Chennai,Electronics,Earbuds,Marketplace,4,24999,99996,0,99996,6,Returned,COD,Late Delivery,107500
ORD1035,Nov,11,2024-11-02,Kolkata,Clothing,Jeans,Website,3,1999,5997,15,5097.45,4,Delivered,UPI,,4900
ORD1036,Dec,12,2024-12-09,Chennai,Sports,Yoga Mat,Mobile App,6,1499,8994,5,8544.3,4,Delivered,Credit Card,,8300
ORD1037,Jan,1,2024-01-09,Pune,Electronics,Earbuds,Marketplace,9,2999,26991,20,21592.8,6,Pending,UPI,,24000
ORD1038,Feb,2,2024-02-17,Hyderabad,Clothing,Kurta,Website,2,12999,25998,15,22098.3,6,Returned,Debit Card,Damaged,22800
ORD1039,Mar,3,2024-03-24,Chennai,Electronics,Smartwatch,Mobile App,1,2999,2999,0,2999,9,Pending,Net Banking,,3200
ORD1040,Apr,4,2024-04-10,Kolkata,Clothing,Saree,Website,11,1999,21989,20,17591.2,6,Delivered,UPI,,18800
ORD1041,May,5,2024-05-06,Kolkata,Books,Textbook,Mobile App,7,1499,10493,20,8394.4,3,Delivered,COD,,8800
ORD1042,Jun,6,2024-06-11,Hyderabad,Books,Biography,Mobile App,9,299,2691,10,2421.9,5,Delivered,Net Banking,,2500
ORD1043,Jul,7,2024-07-21,Ahmedabad,Sports,Football,Marketplace,4,7999,31996,15,27196.6,3,Delivered,Debit Card,,27300
